"En tant que ","je veux ","afin que ","priority "
"Scrum master ",Creer et gerer des EPICS ✅,"Structurer le backlog ","must "
"Scrum master ",lier des USERSTORIES a des EPICS ✅,"organiser les USERSTORIES ",should
"Scrum master ",je veux visualiser les USERSTORIES pour chaque EPICS ✅,"suivre le derouleent du projet ","should "
