"en tant que ","je veux ","afin que ","priority "
Product owner,selectionner la PRIORITE de chaque USERSTORY,trier les USERSTORIES selon la priorite ✅,
Product owner,changer la PRIORITE de chaque USERSTORY,mettre a jour le deroulement du PROJET ✅,
